id;word;pos;ttpos;rrnpos;ttlemma;rnnlemma;s_line;position;word2;word2lemma;category;num_custom;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987;std_date;type_full;type
alia;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;1603;0 899 612;an;en;PROadv;2;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;71 (Vendee);1225;4;71;oui;ms;1185;1225;pic. et occ. orient.;pic.;g. nord;poit.;poit.;g. sud-ouest;roman en vers;alia;VRAI;1185;j;1
amad;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;227;1 639 369;ai;avoir;VERcjg;96;Aisne;Aisne;Aisne;13;13;13;13;81 (Aisne);1288;37;81;oui;cr3;1210;1289;agn.;agn.;agn.;pic.;pic.;g. nord;roman d'aventures et d'amour en octosyllabes;amad;VRAI;1210;j;1
amad;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;176;1 638 282;ameroie;aimer;VERcjg;96;Aisne;Aisne;Aisne;13;13;13;13;81 (Aisne);1288;37;81;oui;cr3;1210;1289;agn.;agn.;agn.;pic.;pic.;g. nord;roman d'aventures et d'amour en octosyllabes;amad;VRAI;1210;j;1
amad;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;115;1 637 074;en;en;PROadv;96;Aisne;Aisne;Aisne;13;13;13;13;81 (Aisne);1288;37;81;oui;cr3;1210;1289;agn.;agn.;agn.;pic.;pic.;g. nord;roman d'aventures et d'amour en octosyllabes;amad;VRAI;1210;j;1
amad;g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;573;1 646 845;i;y;PROadv;96;Aisne;Aisne;Aisne;13;13;13;13;81 (Aisne);1288;37;81;oui;cr3;1210;1289;agn.;agn.;agn.;pic.;pic.;g. nord;roman d'aventures et d'amour en octosyllabes;amad;VRAI;1210;j;1
amile;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;263;1 327 695;ai;avoir;VERcjg;189;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;80 (Langres et env.);1275;61;80;oui;ms1;1200;1275;nil;NA;NA;lorr.;lorr.;g. nord-est;chanson de geste en laisses decasyllabiques;amile;VRAI;1200;j;1
amile;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;808;1 331 820;ai;avoir;VERcjg;189;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;80 (Langres et env.);1275;61;80;oui;ms1;1200;1275;nil;NA;NA;lorr.;lorr.;g. nord-est;chanson de geste en laisses decasyllabiques;amile;VRAI;1200;j;1
amile;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;704;1 331 011;avrai;avoir;VERcjg;189;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;80 (Langres et env.);1275;61;80;oui;ms1;1200;1275;nil;NA;NA;lorr.;lorr.;g. nord-est;chanson de geste en laisses decasyllabiques;amile;VRAI;1200;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;2321;2 463 964;en;en;PROadv;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;il|je;il;748;2 454 434;en;en;PROadv;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;748;2 454 439;en;en;PROadv;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;1379;2 458 237;ai;avoir;VERcjg;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;60;2 450 297;en;en;PROadv;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;18;2 450 037;ai;avoir;VERcjg;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;507;2 452 981;aie;avoir;VERcjg;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;1408;2 458 414;eusse;avoir;VERcjg;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;2359;2 464 194;ai;avoir;VERcjg;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;881;2 455 252;ai;avoir;VERcjg;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;1343;2 458 021;ai;avoir;VERcjg;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;553;2 453 257;arai;avoir;VERcjg;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;593;2 453 486;osoie;oser;VERcjg;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;46;2 450 205;en;en;PROadv;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amo;i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;884;2 455 268;ai;avoir;VERcjg;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;775;2 387 265;ain;aimer;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;1972;2 394 704;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;370;2 384 830;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;624;2 386 375;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;559;2 385 983;ain;aimer;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;259;2 384 189;oi;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;492;2 385 605;ain;aimer;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;1526;2 391 898;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;491;2 385 598;ain;aimer;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
