Référence	ContexteGauche	Pivot	ContexteDroit
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perq, 219, 0 816 414		ge_je i_y	
iou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perr, 270, 0 826 525		iou_je i_y	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, perr, 568, 0 828 303		io_je en_en	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pers, 230, 0 837 796		ge_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pers, 530, 0 839 587		ie_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pert, 337, 0 849 851		je_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, papgreg2, 312, 0 868 410		ge_je i_y	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sept, 323, 0 883 456		jou_je en_en	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sept, 495, 0 884 483		jou_je i_y	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 42, 0 911 393		jeo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 1593, 0 920 655		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 3000, 0 929 052		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 3183, 0 930 135		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 5244, 0 942 475		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 5764, 0 945 634		jo_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 6118, 0 947 806		jo_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 8289, 0 961 069		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 8472, 0 962 188		jo_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 8647, 0 963 249		jo_je en_en	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 9116, 0 966 098		jo_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ipo, 10041, 0 971 572		jo_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, ren2, 1925, 0 986 366		je_je an_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, roma, 911, 0 994 292		ie_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, roma, 1200, 0 996 024		ie_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romb, 648, 1 000 417		je_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romb, 1452, 1 005 247		ie_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romc, 887, 1 016 977		ie_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romc, 1299, 1 019 469		ge_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romc, 1757, 1 022 212		ie_je em_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romd, 1042, 1 029 103		ie_je y_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romd, 1467, 1 031 670		ie_je en_en	
iou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romh, 1150, 1 048 930		iou_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romh, 1572, 1 051 478		ie_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romi, 468, 1 054 786		ie_je y_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romk, 748, 1 062 398		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romk, 1440, 1 066 550		je_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, roml, 641, 1 070 829		ie_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, roml, 1441, 1 075 636		ie_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romm, 885, 1 081 334		ie_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romm, 1296, 1 083 824		ie_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romm, 1754, 1 086 560		ge_je em_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, trib, 57, 1 096 629		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, trib, 341, 1 098 416		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, bern2, 225, 1 107 638		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, floov, 414, 1 163 668		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, herm, 1332, 1 188 865		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, herm, 1736, 1 192 469		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, raou, 304, 1 199 157		je_je an_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, raou, 905, 1 203 692		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, raou, 1706, 1 209 679		je_je an_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sergbH, 34, 1 230 406		ieo_je i_y	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sergbH, 1142, 1 239 989		io_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sergbH, 1157, 1 240 123		ieo_je i_y	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sergbH, 1158, 1 240 131		ieo_je i_y	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sergbH, 1170, 1 240 236		io_je i_y	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sergbH, 1210, 1 240 575		ieo_je en_en	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sergbO, 34, 1 247 214		ieo_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, athi, 666, 1 335 729		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, bel, 86, 1 370 472		je_je i_y	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, bel, 671, 1 374 002		jo_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, contro, 323, 1 381 899		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, contro, 997, 1 385 901		je_je an_en	
