word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma
io;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;aileg;29;1 565 228;a;à	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;aileo;29;1 569 267;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ailet;28;1 570 796;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anth;269;1 580 230;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anth;287;1 580 549;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anth;290;1 580 609;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anth;815;1 592 281;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;carp;231;1 597 929;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amad;312;1 640 998;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chastoi;931;1 662 865;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;cou;86;1 675 844;a;à	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;best;718;1 716 572;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;jaco;209;1 741 704;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;326;1 760 958;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;367;1 762 113;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;367;1 762 125;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;644;1 769 948;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;942;1 778 021;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;946;1 778 107;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;947;1 778 125;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;1129;1 783 047;en;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;hista;1140;1 783 387;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lin;236;1 799 727;en;en	
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;merlin;228;1 822 319;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;mortartu;98;1 830 801;endroit;endroit	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;mortartu;118;1 831 280;en;en	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;mortartu;178;1 832 773;en;en	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;mortartu;512;1 840 412;en;en	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pon1;16;1 841 714;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;songe;73;1 846 224;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;barlaam;25;1 871 696;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;barlaam;71;1 873 195;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;barlaam;701;1 894 277;a;à	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;poit;652;1 928 945;ob;o	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;poit;820;1 932 511;o;o	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;poit;1050;1 937 901;en;en	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lac;36;2 003 767;avoc;avec	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lanc;98;2 015 917;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;lancpr;33;2 023 341;aveuc;avec	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;orso;387;2 067 071;antre;entre	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;orso;410;2 067 273;an;en	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;orso;1184;2 074 058;apres;après	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;orso;1752;2 079 015;outre;outre	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;auc;43;2 082 461;a;à	
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;aucchants;107;2 092 293;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;calex;279;2 094 513;a;à	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nicoa;416;2 164 606;en;en	
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nicoa;549;2 165 504;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;queste;290;2 188 963;endroit;endroit	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;meun;11;2 199 940;a;à	
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rose;2805;2 252 901;a;à	
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;anti;59;2 260 848;en;en	
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;desp;2194;2 287 512;a;à	
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;wita;241;2 293 957;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amou;103;2 383 244;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amou;1085;2 389 140;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;amou;1929;2 394 419;a;à	
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sage;532;2 481 527;en;en	
