Référence	ContexteGauche	Pivot	ContexteDroit
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4502, 0 063 630		je_je apelai_appeler	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4513, 0 063 688		je_je irai_aller	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4522, 0 063 738		je_je apelerai_appeler	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4548, 0 063 897		je_je apelai_appeler	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4579, 0 064 070		je_je entrez_entrer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4598, 0 064 204		je_je eshalcerai_exhausser	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4612, 0 064 279		je_je esguarderai_égarder	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4614, 0 064 294		je_je aprendrai_apprendre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4619, 0 064 329		je_je esquis_esquérir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4634, 0 064 407		je_je esguarderai_égarder	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4658, 0 064 552		je_je eslis_élire	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4660, 0 064 557		je_je aers_aerdre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4683, 0 064 703		je_je esperai_espérer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4688, 0 064 736		je_je alowe_aller	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4693, 0 064 766		je_je amai_aimer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4694, 0 064 778		je_je amai_aimer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4732, 0 065 007		je_je oisse_ouïr	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4741, 0 065 063		je_je apresisse_apprendre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4745, 0 065 093		je_je aprendrai_apprendre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4747, 0 065 109		je_je atendi_attendre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4761, 0 065 204		je_je atendi_attendre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4791, 0 065 377		je_je amai_aimer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4797, 0 065 418		je_je entendi_entendre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4805, 0 065 460		je_je esguardoe_égarder	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4821, 0 065 553		je_je enclinai_encliner	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4889, 0 065 947		je_je apelai_appeler	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4915, 0 066 097		je_je amai_aimer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4924, 0 066 150		je_je amai_aimer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4929, 0 066 177		je_je atendi_attendre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 4944, 0 066 260		je_je eslis_élire	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 5053, 0 066 877		je_je enterai_entrer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 5086, 0 067 085		je_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 5208, 0 067 815		je_je aourerai_aorer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 5221, 0 067 896		je_je irai_aller	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 5336, 0 068 677		je_je espanderai_épandre	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 5372, 0 068 893		je_je espandi_épandre	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, psautier, 5483, 0 069 625		jeo_je ierc_être	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, mrgri, 111, 0 074 616		je_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, mrgri, 116, 0 074 644		je_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 48, 0 080 374		ge_je irai_aller	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 69, 0 080 532		ge_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 394, 0 082 985		ge_je ai_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 730, 0 085 531		ie_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima1, 1078, 0 088 103		ge_je avoie_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 48, 0 090 264		ge_je irai_aller	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 69, 0 090 420		ge_je ai_avoir	
