num_custom;id;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987
238;nima3;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;76 (Nievre, Allier);1325;85;76;oui;ms1;1150;1325;nil;;;lorr.;lorr.;g. nord-est;epopee du cycle de Guillaume d'Orange;nima3;VRAI
239;nima4;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;79 (Nievre, Allier);1280;85;79;oui;ms1;1150;1283;nil;;;frc.;frc.;g. francien;epopee du cycle de Guillaume d'Orange;nima4;VRAI
240;perm;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;78 (Nievre, Allier);1290;85;78;oui;ms1;1180;1275;champ. merid.;champ.;g. nord-est;bourg.;bourg.;g. sud-est;roman arthurien;perm;VRAI
241;queste;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;84 (Nievre, Allier);1250;85;84;non;cr3;1228;1250;nil;;;nil;nil;;roman arthurien en prose;queste;VRAI
242;romc;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;75 (Nievre Allier romc);1260;85;75;oui;ms1;1188;1300;nil;;;nil;nil;;nil;romc;VRAI
243;romm;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;77 (Nievre, Allier);1350;85;77;oui;ms1;1188;1310;nil;;;nil;nil;;nil;romm;VRAI
244;rose;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;84 (Nievre, Allier);1290;85;84;oui;cr2;1230;1285;traits orl.;;;orl.;orl.;g. sud;poeme allegorique en couplets octosyllabique;rose;VRAI
245;yvv;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;74 (Nievre, Allier);1275;85;74;oui;ms1;1177;1290;champ. merid.;champ.;g. nord-est;frc.;frc.;g. francien;roman arthurien en octosyllabes;yvv;VRAI
246;aileg;Angleterre;Angleterre;Angleterre;29;29;29;29;70 (Angleterre);nil;86;70;oui;ms;1207;1300;pic.;pic.;g. nord;agn.;agn.;agn.;poeme didactique;aileg;VRAI
247;besant;Angleterre;Angleterre;Angleterre;29;29;29;29;71 (Angleterre);1400;86;71;oui;cr;1227;1290;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;poeme moralisant;besant;VRAI
248;best;Angleterre;Angleterre;Angleterre;29;29;29;29;73 (Angleterre);1250;86;73;oui;cr3;1211;1250;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;miracle dramatise en vers;best;VRAI
249;elid;Angleterre;Angleterre;Angleterre;29;29;29;29;75 (Angleterre);1250;86;75;oui;ms;1165;1275;Nord-ouest;Nord-ouest;g. nord-ouest;agn.;agn.;agn.;lais;elid;VRAI
250;gibv;Angleterre;Angleterre;Angleterre;29;29;29;29;71 (Angleterre);1250;86;71;oui;cr1;1183;1225;agn.;agn.;agn.;agn.;agn.;agn.;vie de saint en octosyllabes;gibv;VRAI
251;gorm;Angleterre;Angleterre;Angleterre;29;29;29;29;80 (Angleterre);1250;86;80;oui;ms2;1125;1213;frc.;frc.;g. francien;agn.;agn.;agn.;chanson de geste;gorm;VRAI
252;modw;Angleterre;Angleterre;Angleterre;29;29;29;29;78 (Angleterre);1250;86;78;oui;cr;1230;1250;agn.;agn.;agn.;agn.;agn.;agn.;vie de saint;modw;VRAI
253;oakbook;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;non;ms1;nil;nil;nil;;;nil;nil;;documentaire;#N/A;FAUX
254;equiS;nil;nil;Angleterre;;;29;29;nil;nil;nil;nil;oui;ms;1165;1300;agn.;agn.;agn.;frc.;frc.;g. francien;lai;#N/A;FAUX
255;greg2;nil;Angleterre;Angleterre;29;;29;29;nil;1213;86;65;oui;ms1;1215;1215;agn.;agn.;agn.;agn.;agn.;agn.;hagiographie;#N/A;FAUX
256;plainte;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;cr;1312;1325;agn.;agn.;agn.;agn.;agn.;agn.;complainte;#N/A;FAUX
257;prologueH;nil;nil;Angleterre;;;29;29;nil;nil;nil;nil;oui;ms;1165;1275;agn.;agn.;agn.;agn.;agn.;agn.;nil;#N/A;FAUX
258;psautier;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;non;cr2;1125;1150;agn.;agn.;agn.;Canterbury;agn.;agn.;psaume;#N/A;FAUX
259;reis;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;non;ms;1175;1190;agn.;agn.;agn.;agn.;agn.;agn.;texte biblique;#N/A;FAUX
260;rolandox;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;cr1;1100;1137;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;nil;#N/A;FAUX
261;sergbH;nil;nil;Angleterre;;;29;29;nil;nil;nil;nil;oui;cr1;1190;1250;agn.;agn.;agn.;agn.;agn.;agn.;sermon;#N/A;FAUX
262;sergbO;nil;nil;Angleterre;;;29;29;nil;nil;nil;nil;oui;ms;1190;1277;agn.;agn.;agn.;agn.;agn.;agn.;sermon;#N/A;FAUX
263;teo2;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;52;oui;ms2;1150;1210;agn.;agn.;agn.;agn.;agn.;agn.;miracles en octosylabes.;#N/A;FAUX
264;yonecH;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms;1165;1275;agn.;agn.;agn.;agn.;agn.;agn.;lais bretons;#N/A;FAUX
265;yonecP;nil;nil;Angleterre;;;29;29;nil;nil;nil;nil;oui;ms;1165;1290;agn.;agn.;agn.;pic.;pic.;g. nord;lai breton;#N/A;FAUX
266;yonecQ;nil;nil;Angleterre;;;29;29;nil;nil;nil;nil;oui;ms;1165;1339;agn.;agn.;agn.;frc.;frc.;g. francien;lai breton;#N/A;FAUX
267;yonecS;nil;nil;Angleterre;;;29;29;nil;nil;nil;nil;oui;ms;1165;1300;agn.;agn.;agn.;frc.;frc.;g. francien;lai breton;#N/A;FAUX
268;milunH;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms;1165;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;nil;#N/A;FAUX
269;chevreS;nil;nil;Angleterre;;;29;29;nil;nil;nil;nil;oui;ms;1165;1300;agn.;agn.;agn.;frc.;frc.;g. francien;lai;#N/A;FAUX
270;equiH;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms;1165;1275;agn.;agn.;agn.;agn.;agn.;agn.;lai;#N/A;FAUX
271;laustH;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;nil;1165;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;lai;#N/A;FAUX
272;lanvalH;nil;nil;Angleterre;;;29;29;nil;nil;nil;nil;oui;ms2;1165;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;nil;#N/A;FAUX
273;ipo;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;cr;1185;1250;agn.;agn.;agn.;agn.;agn.;agn.;nil;#N/A;FAUX
274;deusamS;nil;nil;Angleterre;;;29;29;nil;nil;nil;nil;oui;ms;1165;1300;agn.;agn.;agn.;frc.;frc.;g. francien;lai;#N/A;FAUX
275;chaitH;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms;1165;1275;agn.;agn.;agn.;agn.;agn.;agn.;lai breton;#N/A;FAUX
276;fablesA;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms;1180;1250;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;fable;#N/A;FAUX
277;fablesB;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms;1180;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;fable;#N/A;FAUX
278;chevreH;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms;1165;1275;agn.;agn.;agn.;agn.;agn.;agn.;lai;#N/A;FAUX
279;rou3a;Angleterre;Angleterre;Angleterre;29;29;29;29;70 (Angleterre);1210;86;70;oui;cr2;1167;1210;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;chronique historique;rou3a;VRAI
280;deusamH;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms;1165;1275;agn.;agn.;agn.;agn.;agn.;agn.;lai;#N/A;FAUX
281;edmond;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms2;1255;1280;agn.;agn.;agn.;agn.;agn.;agn.;vie de saint;#N/A;FAUX
282;edmund;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms2;1195;1325;agn.;agn.;agn.;agn.;agn.;agn.;vie de saint;#N/A;FAUX
283;fablesE1;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms;1180;1225;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;fable;#N/A;FAUX
284;lanvalC;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms2;1165;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;lai;#N/A;FAUX
285;guigH;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;cr;1165;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;lai;#N/A;FAUX
286;nicoa;nil;Angleterre;Angleterre;29;;29;29;nil;1250;86;69;non;ms1;1225;1290;nil;;;agn.;agn.;agn.;traduction de l'evangile;#N/A;FAUX
287;fablesL;nil;nil;NA;;;;;nil;nil;nil;nil;oui;ms;1180;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;nil;nil;;fable;#N/A;FAUX
288;aye;nil;Normandie;Normandie;10;;10;10;nil;1300;24;62;non;cr1;1200;1300;pic. / norm.;;g. nord-ouest;nil;nil;;chanson de geste du cycle de Nanteuil, rattachee au cycle de Charlemagne, en laisses d'alexandrins;#N/A;FAUX
289;fablesZ;nil;nil;NA;;;;;nil;nil;nil;nil;oui;ms;1180;1400;Nord-Ouest;Nord-Ouest;g. nord-ouest;nil;nil;;fable;#N/A;FAUX
290;rombriva;nil;nil;NA;;;;;nil;nil;nil;nil;oui;ms;1188;nil;nil;;;nil;nil;;nil;#N/A;FAUX
291;romi;nil;nil;NA;;;;;nil;nil;nil;nil;oui;ms1;1188;nil;nil;;;nil;nil;;nil;#N/A;FAUX
292;trib;nil;Nievre, Allier;Nievre, Allier;28;;28;28;nil;1275;85;69;oui;ms1;1188;1275;Ouest;Ouest;g. ouest;nil;nil;;roman breton;#N/A;FAUX
293;verite;nil;nil;NA;;;;;nil;1450;nil;nil;oui;ms;nil;1750;nil;;;nil;nil;;nil;#N/A;FAUX
294;livre;nil;nil;NA;;;;;nil;1217;17;68;oui;ms1;1176;1217;Ouest;Ouest;g. ouest;Ouest;Ouest;g. ouest;quatrains monorimes octosyllabiques;#N/A;FAUX
295;fablesK;nil;nil;NA;;;;;nil;nil;nil;nil;oui;ms;1180;1310;Nord-Ouest;Nord-Ouest;g. nord-ouest;nil;nil;;fable;#N/A;FAUX
296;fablesY;nil;Angleterre;Angleterre;29;;29;29;nil;nil;86;nil;oui;ms;1180;1225;Nord-Ouest;Nord-Ouest;g. nord-ouest;norm. et agn.;;;nil;#N/A;FAUX
