Référence	ContexteGauche	Pivot	ContexteDroit
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, romo, 1005, 1 093 197		i_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, romo, 1453, 1 095 897		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, trib, 74, 1 096 738		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, trib, 162, 1 097 294		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, trib, 175, 1 097 378		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, ADVgen, je, ge, trib, 513, 1 099 517		g_ge i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, trib, 584, 1 099 971		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, trib, 881, 1 101 812		j_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, cambrai, 830, 1 129 907		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, cambrai, 849, 1 130 055		g_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, cambrai, 970, 1 130 970		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, elie, 52, 1 135 800		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, elie, 430, 1 139 222		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, elie, 934, 1 143 722		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, elie, 943, 1 143 803		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, elie, 1092, 1 145 152		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, elie, 1142, 1 145 590		j_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, elie, 1888, 1 152 361		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, elie, 2279, 1 155 972		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, floov, 255, 1 162 274		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, herm, 467, 1 181 128		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, herm, 1157, 1 187 297		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, herm, 1327, 1 188 825		g_je en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, raou, 129, 1 197 827		j_y an_en	
