Référence	ContexteGauche	Pivot	ContexteDroit
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcD, 160, 0 267 852		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcD, 219, 0 268 372		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcD, 298, 0 268 980		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcD, 303, 0 269 026		j_y ain_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcD, 347, 0 269 407		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcD, 348, 0 269 417		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcD, 384, 0 269 714		j_y oubliase_oublier	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcD, 418, 0 269 952		j_y aim_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, narcE, 173, 0 271 299		j_y aie_avoir	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yonecQ, 248, 0 277 561		g_je iere_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yonecS, 226, 0 280 686		g_je iere_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, maur, 708, 0 306 361		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, troifr, 161, 0 309 132		j_je os_oser	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, troifr, 505, 0 311 184		j_y orrai_ouïr	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, benoit, 257, 0 314 513		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, benoit, 263, 0 314 543		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, benoit, 800, 0 317 567		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, benoit, 1311, 0 320 462		j_je ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, benoit, 1631, 0 322 272		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chro, 811, 0 331 681		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chro, 940, 0 332 459		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chro, 1389, 0 335 151		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, myst, 897, 0 345 284		j_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, pap, 1913, 0 358 780		i_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, reis, 6801, 0 445 495		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, livre, 1199, 0 463 014		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yva, 347, 0 465 900		j_je ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yva, 563, 0 467 195		i_y auoie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, yva, 574, 0 467 264		j_y estoie_être	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvf, 343, 0 471 893		i_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvf, 472, 0 472 693		i_y oj_ouïr	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvf, 569, 0 473 262		i_y estoie_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvf, 583, 0 473 349		g_je irai_aller	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvg, 342, 0 477 851		i_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvg, 470, 0 478 632		i_y oi_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvg, 566, 0 479 189		i_y estoie_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvg, 580, 0 479 277		g_je irai_aller	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvh, 346, 0 483 847		j_je ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, yvh, 476, 0 484 642		j_y oi_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvh, 562, 0 485 144		j_je avoie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, yvh, 573, 0 485 212		j_y estoie_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvh, 587, 0 485 303		g_je irai_aller	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvp, 340, 0 489 861		i_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvp, 429, 0 490 410		i_y ay_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, yvp, 463, 0 490 613		j_y escoutai_écouter	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvp, 470, 0 490 663		i_y oi_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvp, 556, 0 491 168		i_y auoie_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvp, 567, 0 491 236		i_y estoie_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvp, 581, 0 491 324		g_je irai_aller	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvs, 569, 0 497 174		i_y estoie_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvs, 583, 0 497 260		g_je irai_aller	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, yvv, 313, 0 501 583		i_y ai_avoir	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvv, 537, 0 502 923		g_je estoie_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yvv, 551, 0 503 009		g_je irai_aller	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, chret1, 98, 0 507 559		i_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, chret1, 145, 0 508 472		i_y oj_ouïr	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, chret1, 177, 0 509 129		i_y estoie_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret1, 184, 0 509 230		g_je irai_aller	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, chret1, 401, 0 514 084		i_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, chret1, 401, 0 514 094		i_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, chret1, 599, 0 517 964		i_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret1, 741, 0 520 957		j_y es_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret2, 346, 0 527 279		j_je ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 476, 0 528 074		j_y oi_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret2, 562, 0 528 576		j_je avoie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 573, 0 528 644		j_y estoie_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret2, 587, 0 528 735		g_je irai_aller	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 1343, 0 533 394		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 1346, 0 533 416		j_y ai_avoir	
