word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma;category
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1737;0 045 516;en;en;PRE
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;1996;0 047 191;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;2695;0 051 704;od;o;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;psautier;4739;0 065 050;en;en;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima1;240;0 081 840;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nima2;240;0 091 718;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimc;649;0 150 262;a;à;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;teo2;693;0 160 359;aur;aur;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;nimd;104;0 163 219;o;o;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcA;233;0 246 662;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcA;701;0 250 297;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcB;235;0 253 653;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcB;686;0 257 166;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcC;239;0 260 609;a;à;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;narcC;747;0 264 528;a;à;PRE
ge;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;benoit;1682;0 322 568;od;o;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;myst;159;0 340 732;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;myst;899;0 345 300;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pap;1083;0 353 931;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pap;1108;0 354 083;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pap;1123;0 354 182;en;en;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;2807;0 397 477;en;en;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;3108;0 401 133;en;en;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;4734;0 420 655;endreit;endroit;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;4741;0 420 737;endreit;endroit;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;reis;5338;0 427 824;endreit;endroit;PRE
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesA;2756;0 559 523;encuntre;encontre;PRE
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesA;3355;0 562 995;a;à;PRE
io;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesB;88;0 567 081;od;o;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesB;1612;0 575 737;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesC;2839;0 596 537;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesC;3039;0 597 645;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesK;2381;0 625 459;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesT;2372;0 661 530;encontre;encontre;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;percevalb;4806;0 729 226;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;percevalb;7231;0 743 937;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;papgreg2;39;0 861 030;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;papgreg2;162;0 864 094;en;en;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sept;315;0 883 407;en;en;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sept;319;0 883 435;en;en;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sept;329;0 883 500;en;en;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sept;331;0 883 514;en;en;PRE
jeo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ipo;1446;0 919 711;od;o;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ipo;9994;0 971 297;en;en;PRE
jo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;ipo;9994;0 971 301;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;roma;282;0 990 450;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;roma;868;0 994 018;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romb;995;1 002 505;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romc;649;1 015 528;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romd;414;1 025 275;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romd;999;1 028 835;a;à;PRE
