word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma;category
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;myst;296;0 341 576;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;pap;340;0 349 510;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;pap;1287;0 355 165;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;yva;346;0 465 892;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yvf;267;0 471 415;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;yvf;341;0 471 877;em;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;yvf;983;0 475 757;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;yvg;982;0 481 700;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yvh;269;0 483 362;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;yvh;344;0 483 831;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;yvh;994;0 487 773;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;yvp;338;0 489 846;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;yvs;342;0 495 798;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;yvs;983;0 499 685;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chret1;75;0 507 010;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;chret1;98;0 507 541;em;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;chret1;298;0 511 963;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;chret1;519;0 516 407;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROimp;i2|i|y;il;chret1;773;0 521 721;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chret2;269;0 526 794;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;chret2;344;0 527 263;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chret2;994;0 531 205;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chret2;1491;0 534 298;i;y;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;chret2;1662;0 535 327;an;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chret2;1727;0 535 742;an;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;chret2;2494;0 540 562;an;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesC;78;0 580 989;i;y;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;fablesC;84;0 581 039;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;fablesC;305;0 582 313;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesC;2190;0 592 832;i;y;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesC;2262;0 593 249;i;y;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesC;2456;0 594 347;i;y;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;fablesC;3196;0 598 546;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;fablesE1;381;0 601 669;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesK;80;0 612 109;i;y;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;fablesK;285;0 613 323;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesK;1936;0 622 802;i;y;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;fablesL;87;0 626 348;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;fablesL;385;0 627 997;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesM;86;0 637 528;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;fablesM;382;0 639 234;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;fablesT;86;0 648 553;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;fablesT;382;0 650 304;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesT;521;0 650 983;i;y;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;fablesT;1775;0 658 343;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesT;1972;0 659 205;i;y;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;fablesT;2229;0 660 748;i;y;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;fablesT;2344;0 661 362;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;fablesZ;86;0 670 388;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;fablesZ;382;0 672 122;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pera;493;0 678 511;i;y;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;pera;664;0 679 539;an;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pera;729;0 679 955;an;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pera;1496;0 684 776;an;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;perb;693;0 692 082;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROper;i2|i|y;il;perb;1448;0 696 784;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;percevalb;695;0 704 125;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROper;i2|i|y;il;percevalb;1452;0 708 834;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;percevalb;2906;0 717 657;en;en;PROadv
