word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; s_line; position
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3101; 0 054 436
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3201; 0 055 073
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3224; 0 055 223
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3314; 0 055 826
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3322; 0 055 882
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3341; 0 056 010
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3388; 0 056 363
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3507; 0 057 227
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3759; 0 058 848
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3780; 0 058 961
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3787; 0 059 005
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3793; 0 059 040
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 3968; 0 060 223
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4275; 0 062 192
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4297; 0 062 322
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4298; 0 062 328
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4502; 0 063 630
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4513; 0 063 688
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4516; 0 063 702
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4519; 0 063 717
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4522; 0 063 738
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4548; 0 063 897
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4579; 0 064 070
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4598; 0 064 204
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4612; 0 064 279
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4614; 0 064 294
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4619; 0 064 329
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4634; 0 064 407
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4658; 0 064 552
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4660; 0 064 557
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4683; 0 064 703
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4688; 0 064 736
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4693; 0 064 766
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4694; 0 064 778
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4732; 0 065 007
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4737; 0 065 033
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4739; 0 065 050
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4741; 0 065 063
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4745; 0 065 093
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4747; 0 065 109
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4755; 0 065 163
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4761; 0 065 204
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4773; 0 065 272
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4791; 0 065 377
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4797; 0 065 418
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4805; 0 065 460
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4821; 0 065 553
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4847; 0 065 716
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4889; 0 065 947
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4915; 0 066 097
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4924; 0 066 150
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4929; 0 066 177
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 4944; 0 066 260
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 5053; 0 066 877
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 5086; 0 067 085
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 5208; 0 067 815
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 5221; 0 067 896
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 5275; 0 068 256
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 5336; 0 068 677
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 5372; 0 068 893
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; psautier; 5483; 0 069 625
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; mrgri; 111; 0 074 616
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; mrgri; 116; 0 074 644
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 48; 0 080 374
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 69; 0 080 532
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 162; 0 081 258
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 211; 0 081 634
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 240; 0 081 840
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 280; 0 082 150
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 394; 0 082 985
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 500; 0 083 797
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 641; 0 084 856
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 730; 0 085 531
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 1029; 0 087 747
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima1; 1078; 0 088 103
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 48; 0 090 264
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 69; 0 090 420
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 84; 0 090 540
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 162; 0 091 138
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 211; 0 091 511
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 240; 0 091 718
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 280; 0 092 028
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 394; 0 092 867
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 499; 0 093 677
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 639; 0 094 727
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 727; 0 095 385
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 888; 0 096 565
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 1186; 0 098 785
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima2; 1235; 0 099 142
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima3; 17; 0 101 102
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima3; 131; 0 101 945
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima3; 373; 0 103 786
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima3; 462; 0 104 455
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima3; 623; 0 105 613
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima3; 921; 0 107 823
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima3; 970; 0 108 177
ie; PRO:pers:suj:1:sg:unb; PRO:pers; CONsub; je; ie; nima4; 162; 0 111 217
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima4; 240; 0 111 797
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima4; 280; 0 112 104
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima4; 394; 0 112 942
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima4; 639; 0 114 800
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima4; 869; 0 116 498
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nima4; 1168; 0 118 713
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimafrag; 107; 0 121 622
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 47; 0 122 136
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 68; 0 122 289
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 100; 0 122 538
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 154; 0 122 963
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 164; 0 123 046
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 286; 0 123 954
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 667; 0 126 820
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 923; 0 128 709
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 939; 0 128 831
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb1; 1382; 0 132 118
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 31; 0 134 110
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 93; 0 134 592
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 220; 0 135 554
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 368; 0 136 644
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 603; 0 138 447
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 858; 0 140 335
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 874; 0 140 456
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimb2; 1320; 0 143 763
iou; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 61; 0 145 931
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 65; 0 145 960
je; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 239; 0 147 267
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 297; 0 147 683
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 336; 0 147 984
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 479; 0 149 005
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 649; 0 150 262
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 657; 0 150 316
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 741; 0 150 958
ie; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimc; 918; 0 152 232
io; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; teo2; 14; 0 156 685
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; teo2; 236; 0 157 908
io; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; teo2; 533; 0 159 505
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; teo2; 569; 0 159 696
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; teo2; 623; 0 159 984
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; teo2; 633; 0 160 037
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; teo2; 653; 0 160 144
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; teo2; 693; 0 160 359
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; teo2; 753; 0 160 677
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; teo2; 816; 0 161 025
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimd; 104; 0 163 219
jou; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimd; 480; 0 166 084
jou; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimd; 487; 0 166 141
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimd; 592; 0 166 924
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimd; 603; 0 167 014
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimd; 653; 0 167 392
ge; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; nimd; 843; 0 168 808
jou; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; aiol; 885; 0 176 880
jou; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; aiol; 931; 0 177 057
jo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; eneas; 628; 0 183 187
io; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chaitH; 2; 0 192 502
io; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chaitH; 29; 0 192 662
ieo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; deusamH; 209; 0 196 371
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; elid; 3; 0 197 551
jeo; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; elid; 193; 0 198 580
