word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; s_line; position
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 802; 0 251 101
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 807; 0 251 147
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 851; 0 251 530
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 852; 0 251 540
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 860; 0 251 616
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcA; 888; 0 251 842
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcB; 317; 0 254 293
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; narcB; 346; 0 254 535
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcB; 407; 0 254 960
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcB; 533; 0 255 937
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; narcB; 569; 0 256 256
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcB; 645; 0 256 802
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcB; 703; 0 257 328
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; narcB; 762; 0 257 777
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcB; 776; 0 257 902
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcB; 781; 0 257 948
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; narcB; 807; 0 258 166
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcB; 825; 0 258 332
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcB; 826; 0 258 342
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcB; 834; 0 258 416
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 190; 0 260 247
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 230; 0 260 529
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 233; 0 260 558
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; narcC; 290; 0 261 055
j; PRO:pers:suj:1:sg:unb; PRO:pers; ADVgen; je; jà; narcC; 390; 0 261 817
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 439; 0 262 140
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 702; 0 264 128
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 733; 0 264 404
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 789; 0 264 888
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 868; 0 265 475
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 871; 0 265 504
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 919; 0 265 918
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; narcC; 920; 0 265 928
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 926; 0 265 981
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 930; 0 266 020
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcC; 958; 0 266 245
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcD; 43; 0 266 942
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcD; 160; 0 267 852
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcD; 219; 0 268 372
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcD; 298; 0 268 980
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcD; 303; 0 269 026
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcD; 347; 0 269 407
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcD; 348; 0 269 417
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcD; 384; 0 269 714
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcD; 418; 0 269 952
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; narcE; 47; 0 270 364
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; narcE; 173; 0 271 299
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yonecQ; 248; 0 277 561
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yonecS; 226; 0 280 686
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; rou3a; 111; 0 292 804
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; maur; 708; 0 306 361
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; maur; 901; 0 307 561
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; maur; 948; 0 307 845
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; troifr; 161; 0 309 132
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; troifr; 505; 0 311 184
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; benoit; 257; 0 314 513
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; benoit; 263; 0 314 543
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; benoit; 318; 0 314 859
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; benoit; 800; 0 317 567
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; benoit; 928; 0 318 259
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; benoit; 1122; 0 319 362
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; benoit; 1122; 0 319 367
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; benoit; 1311; 0 320 462
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; benoit; 1631; 0 322 272
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; benoit; 2068; 0 324 798
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; benoit; 2072; 0 324 824
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; benoit; 2421; 0 326 853
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chro; 811; 0 331 681
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chro; 940; 0 332 459
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chro; 1389; 0 335 151
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chro; 2085; 0 339 312
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; myst; 296; 0 341 576
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; myst; 897; 0 345 284
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; pap; 340; 0 349 510
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; pap; 1287; 0 355 165
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; pap; 1913; 0 358 780
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; reis; 6801; 0 445 495
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; livre; 1199; 0 463 014
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; yva; 346; 0 465 892
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yva; 347; 0 465 900
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yva; 563; 0 467 195
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; yva; 574; 0 467 264
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvf; 267; 0 471 415
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvf; 341; 0 471 877
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvf; 343; 0 471 893
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvf; 472; 0 472 693
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvf; 569; 0 473 262
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvf; 583; 0 473 349
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; il|je; y; yvf; 983; 0 475 757
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvg; 342; 0 477 851
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvg; 470; 0 478 632
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvg; 566; 0 479 189
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvg; 580; 0 479 277
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvg; 982; 0 481 700
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvh; 269; 0 483 362
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; yvh; 344; 0 483 831
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvh; 346; 0 483 847
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; yvh; 476; 0 484 642
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvh; 562; 0 485 144
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; yvh; 573; 0 485 212
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvh; 587; 0 485 303
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvh; 994; 0 487 773
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvp; 338; 0 489 846
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvp; 340; 0 489 861
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvp; 429; 0 490 410
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; yvp; 463; 0 490 613
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvp; 470; 0 490 663
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvp; 556; 0 491 168
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvp; 567; 0 491 236
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvp; 581; 0 491 324
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvs; 342; 0 495 798
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvs; 569; 0 497 174
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvs; 583; 0 497 260
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; il|je; y; yvs; 983; 0 499 685
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; yvv; 313; 0 501 583
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvv; 537; 0 502 923
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; yvv; 551; 0 503 009
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chret1; 75; 0 507 010
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; chret1; 98; 0 507 541
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; chret1; 98; 0 507 559
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; chret1; 145; 0 508 472
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; chret1; 177; 0 509 129
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chret1; 184; 0 509 230
i; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; il|je; y; chret1; 298; 0 511 963
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; chret1; 331; 0 512 754
